Log created: 2022-01-14 12:12:23
Type: staging
[2022-01-14 12:24:49][notice]Copying wp_mailpoet_statistics_newsletters is completed.
[2022-01-14 12:24:53][notice]Start processing db.
[2022-01-14 12:24:53][notice]Prepare to copy database.
[2022-01-14 12:24:53][notice]Copying wp_mailpoet_statistics_opens is completed.
[2022-01-14 12:24:57][notice]Start processing db.
[2022-01-14 12:24:57][notice]Prepare to copy database.
[2022-01-14 12:24:57][notice]Copying wp_mailpoet_statistics_unsubscribes is completed.
[2022-01-14 12:25:01][notice]Start processing db.
[2022-01-14 12:25:01][notice]Prepare to copy database.
[2022-01-14 12:25:01][notice]Copying wp_mailpoet_statistics_woocommerce_purchases is completed.
[2022-01-14 12:25:05][notice]Start processing db.
[2022-01-14 12:25:05][notice]Prepare to copy database.
[2022-01-14 12:25:05][notice]Copying wp_mailpoet_stats_notifications is completed.
[2022-01-14 12:25:09][notice]Start processing db.
[2022-01-14 12:25:09][notice]Prepare to copy database.
[2022-01-14 12:25:09][notice]Copying wp_mailpoet_subscriber_custom_field is completed.
[2022-01-14 12:25:13][notice]Start processing db.
[2022-01-14 12:25:13][notice]Prepare to copy database.
[2022-01-14 12:25:13][notice]Copying wp_mailpoet_subscriber_ips is completed.
[2022-01-14 12:25:17][notice]Start processing db.
[2022-01-14 12:25:17][notice]Prepare to copy database.
[2022-01-14 12:25:17][notice]Copying wp_mailpoet_subscriber_segment is completed.
[2022-01-14 12:25:21][notice]Start processing db.
[2022-01-14 12:25:21][notice]Prepare to copy database.
[2022-01-14 12:25:21][notice]Copying wp_mailpoet_subscribers is completed.
[2022-01-14 12:25:25][notice]Start processing db.
[2022-01-14 12:25:25][notice]Prepare to copy database.
[2022-01-14 12:25:25][notice]Copying wp_mailpoet_user_agents is completed.
[2022-01-14 12:25:29][notice]Start processing db.
[2022-01-14 12:25:29][notice]Prepare to copy database.
[2022-01-14 12:25:29][notice]Copying wp_mailpoet_user_flags is completed.
[2022-01-14 12:25:33][notice]Start processing db.
[2022-01-14 12:25:33][notice]Prepare to copy database.
[2022-01-14 12:25:33][notice]Copying wp_nx_entries is completed.
[2022-01-14 12:25:37][notice]Start processing db.
[2022-01-14 12:25:37][notice]Prepare to copy database.
[2022-01-14 12:25:37][notice]Copying wp_nx_posts is completed.
[2022-01-14 12:25:41][notice]Start processing db.
[2022-01-14 12:25:41][notice]Prepare to copy database.
[2022-01-14 12:25:41][notice]Copying wp_nx_stats is completed.
[2022-01-14 12:25:45][notice]Start processing db.
[2022-01-14 12:25:45][notice]Prepare to copy database.
[2022-01-14 12:25:45][notice]Copying wp_options is completed.
[2022-01-14 12:25:49][notice]Start processing db.
[2022-01-14 12:25:49][notice]Prepare to copy database.
